iter	Passed	Remaining
219	155096	549887
220	155557	548323
221	155990	546668
222	156530	545399
223	156957	543744
224	157430	542261
225	157867	540662
226	158312	539098
227	158829	537790
228	159281	536272
229	159693	534624
230	160154	533153
231	160867	532526
232	161798	532616
233	162419	531679
234	163167	531163
235	163870	530494
236	164491	529564
237	165143	528737
238	165965	528452
239	166871	528426
240	167688	528115
241	168431	527565
242	169372	527633
243	170014	526767
244	170649	525878
245	171329	525131
246	172115	524708
247	172869	524184
248	173517	523339
249	174220	522660
250	174813	521655
251	175371	520546
252	176138	520061
253	176768	519170
254	177409	518315
255	178010	517343
256	178669	516541
257	179263	515556
258	180022	515046
259	180795	514571
260	181296	513325
261	182163	513118
262	182902	512542
263	183747	512266
264	184761	512452
265	185707	512440
266	186350	511592
267	187021	510819
268	187746	510194
269	188367	509290
270	189036	508514
271	189773	507924
272	190410	507064
273	191088	506314
274	191733	505478
275	192495	504951
276	193136	504106
277	193499	502541
278	194073	501529
279	194648	500524
280	195285	499679
281	196113	499324
282	196730	498431
283	197248	497288
284	198236	497330
285	198811	496332
286	199428	495444
287	200063	494600
288	200608	493538
289	201323	492895
290	201768	491593
291	202316	490547
292	202932	489669
293	203377	488381
294	203905	487299
295	204517	486419
296	204984	485199
297	205592	484315
298	206049	483079
299	206730	482371
300	207164	481090
301	207677	479997
302	208094	478686
303	208712	477841
304	209184	476666
305	209804	475830
306	210262	474632
307	210744	473491
308	211438	472828
309	212047	471977
310	212599	470999
311	213051	469805
312	213509	468628
313	213974	467471
314	214562	466589
315	215099	465595
316	215715	464775
317	216276	463837
318	216852	462935
319	217371	461915
320	217881	460877
321	218410	459883
322	218915	458841
323	219493	457955
324	219980	456882
325	220640	456171
326	221479	455828
327	222622	456105
328	223549	455932
329	224707	456224
330	225631	456034
331	226640	456011
332	227653	455991
333	229105	456839
334	230537	457633
335	232927	460308
336	234645	461632
337	236145	462510
338	237638	463359
339	238989	463920
340	240213	464224
341	241552	464741
342	243459	466334
343	245199	467588
344	246900	468753
345	248838	470348
346	250667	471717
347	251568	471328
348	252544	471079
349	253261	470341
350	254252	470113
351	255082	469583
352	255929	469083
353	256636	468324
354	257599	468032
355	258480	467588
356	259320	467066
357	260093	466425
358	260965	465957
359	261857	465524
360	263032	465589
361	263966	465223
362	264831	464731
363	265629	464122
364	266443	463539
365	267285	463002
366	268119	462451
367	268961	461912
368	269754	461287
369	270571	460702
370	271556	460401
371	272447	459937
372	273308	459421
373	274085	458762
374	274952	458253
375	275800	457712
376	276614	457111
377	277266	456242
378	278213	455858
379	279228	455582
380	280337	455455
381	281385	455225
382	282437	454997
383	283516	454807
384	284643	454690
385	285834	454669
386	286977	454566
387	288090	454411
388	289305	454411
389	290410	454231
390	291846	454563
391	292947	454367
392	294318	454583
393	295514	454522
394	296800	454593
395	297942	454437
396	299140	454361
397	300460	454465
398	301440	454049
399	302681	454022
400	304055	454188
401	305171	453961
402	306374	453860
403	307755	454015
404	308874	453778
405	310117	453718
406	311026	453166
407	312667	453674
408	314251	454089
409	315786	454425
410	317454	454940
411	318672	454804
412	320268	455200
413	322262	456149
414	323872	456543
415	325680	457205
416	327129	457353
417	328829	457843
418	330536	458333
419	332000	458476
420	333614	458819
421	335059	458920
422	336318	458760
423	337802	458902
424	339186	458899
425	340540	458850
426	341705	458541
427	342753	458072
428	343693	457457
429	344690	456915
430	345449	456058
431	346240	455242
432	347480	455014
433	348789	454873
434	349943	454524
435	351271	454396
436	352521	454163
437	354016	454240
438	355738	454599
439	357091	454480
440	358724	454710
441	360798	455487
442	362279	455507
443	363665	455401
444	364921	455126
445	366411	455139
446	367500	454648
447	368770	454378
448	370008	454064
449	370647	453013
450	371146	451795
451	371801	450768
452	372526	449827
453	372985	448568
454	373593	447491
455	374428	446686
456	375579	446257
457	376810	445920
458	378026	445560
459	379128	445063
460	380286	444630
461	381173	443876
462	382383	443499
463	383431	442930
464	384413	442281
465	385363	441596
466	386741	441399
467	387797	440829
468	389070	440504
469	390264	440085
470	391284	439468
471	392288	438831
472	393950	438925
473	395040	438378
474	396080	437772
475	397301	437365
476	398359	436775
477	399519	436295
478	400691	435824
479	401926	435419
480	403420	435291
481	404868	435108
482	406701	435330
483	408414	435416
484	409959	435317
485	411206	434897
486	412665	434697
487	414015	434376
488	415227	433908
489	416592	433596
490	417856	433174
491	419058	432686
492	420276	432211
493	421571	431812
494	423620	432178
495	425229	432088
496	426912	432066
497	428803	432247
498	430169	431893
499	430871	430871
500	431722	429998
501	432975	429525
502	434062	428885
503	435099	428192
504	435946	427313
505	437158	426791
506	438361	426257
507	439438	425597
508	440457	424881
509	441135	423836
510	441753	422734
511	442376	421639
512	442944	420495
513	443474	419316
514	444050	418183
515	444663	417087
516	445312	416027
517	445905	414915
518	446604	413905
519	447151	412755
520	447708	411617
521	448248	410465
522	448883	409402
523	449508	408332
524	450255	407373
525	450911	406334
526	451499	405235
527	452145	404191
528	452665	403035
529	453355	402032
530	453931	400930
531	454666	399969
532	455292	398915
533	456019	397949
534	456805	397036
535	457304	395875
536	457873	394777
537	458484	393717
538	459104	392666
539	459723	391616
540	460694	390866
541	461225	389743
542	461694	388571
543	462136	387379
544	462520	386141
545	463066	385041
546	463501	383850
547	464000	382715
548	464503	381586
549	464910	380381
550	465429	379269
551	465907	378127
552	466387	376989
553	467030	375984
554	467445	374798
555	467857	373612
556	468374	372513
557	468818	371357
558	469296	370231
559	469756	369094
560	470344	368059
561	470912	367010
562	471476	365959
563	471880	364786
564	472495	363779
565	472911	362621
566	473305	361448
567	473733	360304
568	474160	359162
569	474619	358046
570	475044	356907
571	475494	355789
572	475978	354699
573	476391	353559
574	476799	352416
575	477334	351371
576	477749	350239
577	478205	349139
578	478637	348025
579	479144	346966
580	479572	345853
581	479998	344740
582	480527	343704
583	480921	342574
584	481366	341482
585	481775	340366
586	482217	339277
587	482726	338236
588	483177	337157
589	483669	336109
590	484025	334968
591	484532	333934
592	484920	332820
593	485500	331840
594	486062	330849
595	486724	329927
596	487395	329012
597	487891	327980
598	488416	326969
599	488906	325937
600	489334	324866
601	489690	323748
602	490005	322607
603	490538	321611
604	491061	320610
605	491527	319573
606	491920	318492
607	492309	317409
608	492654	316301
609	493021	315210
610	493473	314175
611	493944	313154
612	494385	312116
613	494917	311137
614	495278	310052
615	495823	309084
616	496254	308047
617	496849	307114
618	497265	306071
619	497766	305082
620	498279	304102
621	498713	303076
622	499249	302114
623	499748	301130
624	500257	300154
625	500635	299101
626	501254	298194
627	501710	297191
628	502240	296234
629	502715	295245
630	503337	294344
631	503936	293431
632	504377	292427
633	504895	291469
634	505266	290428
635	505785	289474
636	506277	288506
637	506663	287480
638	506995	286424
639	507385	285404
640	507889	284450
641	508535	283575
642	509004	282604
643	509452	281622
644	509871	280626
645	510324	279651
646	510837	278710
647	511334	277761
648	511704	276746
649	512187	275793
650	512608	274808
651	513145	273887
652	513596	272922
653	514089	271980
654	514509	271001
655	514972	270046
656	515544	269150
657	516003	268196
658	516430	267227
659	516730	266194
660	517213	265257
661	517561	264253
662	518113	263354
663	518554	262400
664	518989	261445
665	519486	260523
666	519916	259568
667	520611	258747
668	521119	257833
669	521535	256875
670	521909	255898
671	522333	254948
672	522752	253996
673	523177	253050
674	523714	252158
675	524179	251233
676	524586	250282
677	525064	249367
678	525539	248451
679	526034	247545
680	526424	246592
681	526914	245687
682	527397	244780
683	527902	243884
684	528426	242999
685	528849	242068
686	529330	241165
687	529779	240248
688	530173	239309
689	530699	238430
690	531243	237560
691	531748	236674
692	532236	235781
693	532732	234893
694	533136	233966
695	533723	233120
696	534230	232240
697	534786	231383
698	535266	230493
699	535765	229613
700	536245	228726
701	536726	227841
702	537143	226929
703	537636	226051
704	538127	225173
705	538619	224297
706	539016	223382
707	539397	222463
708	539963	221621
709	540452	220748
710	540950	219880
711	541462	219018
712	541937	218143
713	542398	217263
714	542797	216359
715	543313	215504
716	543796	214636
717	544226	213749
718	544612	212845
719	545211	212026
720	545621	211135
721	546055	210253
722	546535	209391
723	546970	208513
724	547505	207674
725	547907	206786
726	548341	205910
727	548777	205037
728	549208	204163
729	549818	203357
730	550257	202488
731	550808	201662
732	551332	200826
733	551756	199955
734	552289	199124
735	552817	198293
736	553268	197435
737	553712	196575
738	554136	195709
739	554581	194852
740	554989	193984
741	555481	193145
742	555927	192292
743	556327	191424
744	556789	190578
745	557241	189731
746	557680	188879
747	558100	188023
748	558665	187216
749	559111	186370
750	559541	185520
751	559968	184670
752	560394	183821
753	560843	182980
754	561249	182127
755	561665	181278
756	562101	180436
757	562556	179602
758	562999	178765
759	563551	177963
760	563967	177119
761	564401	176283
762	564826	175444
763	565281	174615
764	565740	173789
765	566248	172979
766	566764	172172
767	567240	171354
768	567735	170542
769	568220	169728
770	568809	168946
771	569233	168115
772	569834	167338
773	570355	166537
774	570901	165745
775	571534	164978
776	571983	164160
777	572912	163478
778	573713	162760
779	574714	162098
780	575187	161288
781	576170	160620
782	577323	159998
783	578153	159287
784	579279	158656
785	579926	157893
786	580573	157130
787	581181	156358
788	582065	155660
789	582849	154934
790	583420	154152
791	584070	153392
792	584808	152654
793	585563	151922
794	586325	151190
795	586868	150403
796	587487	149636
797	588064	148858
798	588748	148108
799	589398	147349
800	590028	146586
801	590614	145812
802	591344	145074
803	591949	144306
804	592572	143542
805	593174	142773
806	593709	141989
807	594273	141213
808	594863	140443
809	595415	139665
810	595987	138892
811	596541	138115
812	597114	137343
813	597925	136626
814	598690	135899
815	599398	135158
816	600080	134412
817	600643	133639
818	600827	132783
819	601244	131980
820	601566	131157
821	601907	130339
822	602214	129516
823	602409	128669
824	602656	127836
825	603200	127066
826	603714	126290
827	604223	125515
828	604836	124761
829	605257	123968
830	605806	123202
831	606316	122429
832	606836	121658
833	607373	120892
834	607882	120120
835	608473	119365
836	608889	118576
837	609412	117810
838	609774	117012
839	610146	116218
840	610420	115406
841	610722	114601
842	611109	113812
843	611478	113022
844	611814	112226
845	612208	111442
846	612576	110654
847	612965	109871
848	613336	109085
849	613956	108345
850	614444	107581
851	615032	106836
852	615524	106075
853	615888	105292
854	616316	104521
855	616720	103747
856	617093	102969
857	617507	102198
858	617857	101417
859	618236	100643
860	618709	99884
861	619028	99102
862	619469	98339
863	619885	97574
864	620267	96804
865	620650	96036
866	621001	95263
867	621407	94499
868	621810	93736
869	622196	92971
870	622726	92229
871	623146	91471
872	623641	90724
873	624003	89959
874	624416	89202
875	624792	88440
876	625170	87680
877	625554	86922
878	625917	86161
879	626319	85407
880	626743	84656
881	627104	83898
882	627513	83147
883	627845	82386
884	628273	81640
885	628672	80890
886	629046	80137
887	629614	79410
888	630112	78675
889	630509	77928
890	631084	77203
891	631481	76457
892	631861	75710
893	632352	74976
894	632692	74226
895	633129	73488
896	633637	72758
897	634068	72021
898	634501	71284
899	634951	70550
900	635276	69802
901	635488	69044
902	635962	68314
903	636488	67591
904	637019	66869
905	637388	66130
906	638027	65420
907	638439	64687
908	638932	63963
909	639342	63231
910	639632	62488
911	639965	61751
912	640244	61009
913	640484	60264
914	641078	59553
915	641329	58811
916	641722	58083
917	642054	57351
918	642344	56615
919	642990	55912
920	643469	55194
921	644119	54491
922	644731	53785
923	645494	53092
924	646216	52395
925	647013	51705
926	647849	51017
927	648477	50312
928	649061	49605
929	649651	48898
930	650209	48189
931	650765	47480
932	651374	46776
933	652019	46074
934	652492	45360
935	653132	44658
936	653684	43951
937	654322	43249
938	654929	42545
939	655490	41839
940	656108	41137
941	656742	40436
942	657212	39725
943	657863	39025
944	658416	38320
945	659023	37618
946	659619	36916
947	660138	36210
948	660825	35513
949	661402	34810
950	662058	34112
951	662651	33411
952	663585	32726
953	664192	32026
954	664672	31319
955	665349	30622
956	665965	29923
957	666385	29215
958	666725	28504
959	667338	27805
960	667792	27100
961	668401	26402
962	668819	25697
963	669266	24993
964	669615	24286
965	669937	23579
966	670301	22874
967	670555	22167
968	670745	21458
969	671097	20755
970	671577	20057
971	671960	19356
972	672352	18657
973	672761	17958
974	673152	17260
975	673568	16563
976	673943	15865
977	674388	15170
978	674807	14474
979	675169	13778
980	675552	13084
981	675907	12389
982	676327	11696
983	676723	11003
984	677152	10311
985	677525	9620
986	677966	8929
987	678364	8239
988	678807	7549
989	679232	6860
990	679607	6172
991	680027	5484
992	680566	4797
993	681000	4110
994	681337	3423
995	681731	2737
996	682102	2052
997	682408	1367
998	682794	683
999	683153	0
